,id,item,category_id,category,round,listnum
4,30,blocks,0,toys,0,0
5,30,Bouncy balls,0,toys,0,0
6,30,paint,0,toys,0,0
7,30,crayons,0,toys,0,0
0,31,train,0,toys,0,0
1,31,LOL doll,0,toys,0,0
2,31,little cheeky bird,0,toys,0,0
3,31,car,0,toys,0,0
4,31,Barbie,0,toys,0,0
5,31,Hello kitty,0,toys,0,0
6,31,unicorn toy,0,toys,0,0
7,31,My little pony,0,toys,0,0
8,31,LOL house,0,toys,0,0
9,31,unicorn dress,0,toys,0,0
10,31,My little pony clothes,0,toys,0,0
0,32,train,0,toys,0,0
1,32,airplane,0,toys,0,0
2,32,Blocks,0,toys,0,0
3,32,Legos,0,toys,0,0
4,32,Connect four,0,toys,0,0
5,32,car,0,toys,0,0
6,32,toy kitchen,0,toys,0,0
7,32,toy food,0,toys,0,0
0,33,rubix cube,0,toys,0,0
1,33,slinky,0,toys,0,0
2,33,Train,0,toys,0,0
3,33,Spider-Man,0,toys,0,0
4,33,toy fly,0,toys,0,0
5,33,train toy,0,toys,0,0
6,33,pyramid,0,toys,0,0
0,35,legos,0,toys,0,0
1,35,nerf guns,0,toys,0,0
2,35,[unclear],0,toys,0,0
3,35,Pokemon Battle Academy,0,toys,0,0
4,35,Othello Operation [unclear],0,toys,0,0
5,35,Pool,0,toys,0,0
0,36,Lego,0,toys,0,0
1,36,Blocks,0,toys,0,0
2,36,Lego blocks,0,toys,0,0
3,36,toy train,0,toys,0,0
4,36,train,0,toys,0,0
5,36,car,0,toys,0,0
6,36,Pokemon,0,toys,0,0
7,36,toy pokemon,0,toys,0,0
8,36,pokemon,0,toys,0,0
0,37,teddy bear,0,toys,0,0
1,37,blocks,0,toys,0,0
2,37,toy train,0,toys,0,0
3,37,train tracks,0,toys,0,0
4,37,robot,0,toys,0,0
5,37,toy ball,0,toys,0,0
0,38,remote control cars,0,toys,0,0
1,38,Drones,0,toys,0,0
2,38,Toy trains,0,toys,0,0
3,38,Cars,0,toys,0,0
0,40,toys,0,toys,0,0
1,40,teddy bear,0,toys,0,0
2,40,doll house,0,toys,0,0
3,40,ball,0,toys,0,0
4,40,cup,0,toys,0,0
5,40,table,0,toys,0,0
6,40,mouse,0,toys,0,0
7,40,food,0,toys,0,0
8,40,house,0,toys,0,0
9,40,bed,0,toys,0,0
10,40,closet,0,toys,0,0
0,41,LOL doll,0,toys,0,0
1,41,barbie,0,toys,0,0
2,41,slinky,0,toys,0,0
3,41,Fridge,0,toys,0,0
4,41,toys,0,toys,0,0
5,41,jack in the box,0,toys,0,0
6,41,shower,0,toys,0,0
7,41,toys,0,toys,0,0
0,42,Car,0,toys,0,0
1,42,truck,0,toys,0,0
2,42,minivan,0,toys,0,0
3,42,tesla,0,toys,0,0
4,42,lamborghini,0,toys,0,0
5,42,toy,0,toys,0,0
6,42,wipe,0,toys,0,0
7,42,Kitchen,0,toys,0,0
8,42,sand timer,0,toys,0,0
9,42,iPad,0,toys,0,0
10,42,TV,0,toys,0,0
11,42,computer,0,toys,0,0
12,42,phone,0,toys,0,0
13,42,lamp,0,toys,0,0
14,42,chair,0,toys,0,0
0,43,toy,0,toys,0,0
1,43,airplane,0,toys,0,0
2,43,stuffy,0,toys,0,0
3,43,computer,0,toys,0,0
4,43,food,0,toys,0,0
5,43,toy food,0,toys,0,0
6,43,toy kitchen,0,toys,0,0
7,43,toy person,0,toys,0,0
8,43,toy plane,0,toys,0,0
9,43,toy train,0,toys,0,0
10,43,toy car,0,toys,0,0
11,43,toy vehicles,0,toys,0,0
12,43,toy shoes,0,toys,0,0
13,43,toy airport,0,toys,0,0
14,43,toy chair,0,toys,0,0
15,43,toy phone,0,toys,0,0
0,44,Legos,0,toys,0,0
1,44,Blocks,0,toys,0,0
2,44,Action figures,0,toys,0,0
3,44,Books,0,toys,0,0
4,44,cards,0,toys,0,0
5,44,iPads,0,toys,0,0
0,45,Pom-poms,0,toys,0,0
1,45,toy cars,0,toys,0,0
2,45,strings,0,toys,0,0
3,45,knitting,0,toys,0,0
4,45,bow ties,0,toys,0,0
5,45,dolls,0,toys,0,0
6,45,legos,0,toys,0,0
7,45,slime,0,toys,0,0
8,45,play-doh,0,toys,0,0
9,45,Rubiks cubes,0,toys,0,0
10,45,little baby toy,0,toys,0,0
11,45,cars,0,toys,0,0
12,45,LOL dolls,0,toys,0,0
13,45,cute plushies,0,toys,0,0
14,45,plushies,0,toys,0,0
15,45,plushies made of pom-poms,0,toys,0,0
16,45,coloring books,0,toys,0,0
17,45,origami books,0,toys,0,0
18,45,playing hot potato,0,toys,0,0
0,46,Toy,0,toys,0,0
1,46,horse,0,toys,0,0
2,46,Doll house,0,toys,0,0
3,46,Toy computer,0,toys,0,0
4,46,toy drawer,0,toys,0,0
5,46,American girl doll,0,toys,0,0
6,46,pretend measuring cup,0,toys,0,0
7,46,ruler,0,toys,0,0
8,46,bag,0,toys,0,0
9,46,[unclear],0,toys,0,0
10,46,blanket,0,toys,0,0
11,46,doll,0,toys,0,0
12,46,toy lamp,0,toys,0,0
13,46,toy table,0,toys,0,0
0,47,American girl dolls,0,toys,0,0
1,47,American girl doll accessories,0,toys,0,0
2,47,Our generation,0,toys,0,0
3,47,Our generation accessories,0,toys,0,0
4,47,Toy horse,0,toys,0,0
5,47,Barbie dolls,0,toys,0,0
6,47,Collectibles,0,toys,0,0
7,47,Puppets,0,toys,0,0
8,47,fidgets,0,toys,0,0
9,47,[unclear],0,toys,0,0
10,47,Baby dolls,0,toys,0,0
11,47,American girl dolls,0,toys,0,0
12,47,American girl doll that I named Hannah,0,toys,0,0
13,47,toy horse,0,toys,0,0
0,48,toys,0,toys,0,0
1,48,race cars,0,toys,0,0
2,48,pom-poms,0,toys,0,0
3,48,cars,0,toys,0,0
4,48,trucks,0,toys,0,0
5,48,planes,0,toys,0,0
6,48,boats,0,toys,0,0
7,48,duckies,0,toys,0,0
8,48,toys,0,toys,0,0
9,48,cars,0,toys,0,0
10,48,dinosaurs,0,toys,0,0
11,48,Penguins,0,toys,0,0
12,48,Horses,0,toys,0,0
13,48,grassland,0,toys,0,0
14,48,cows,0,toys,0,0
15,48,Maracas,0,toys,0,0
16,48,amarillo,0,toys,0,0
17,48,bus,0,toys,0,0
18,48,cars,0,toys,0,0
0,49,Fire truck,0,toys,0,0
1,49,Police car,0,toys,0,0
2,49,Ambulance,0,toys,0,0
3,49,Tow truck,0,toys,0,0
4,49,Bull dozer,0,toys,0,0
5,49,Crane,0,toys,0,0
6,49,Helicopter,0,toys,0,0
7,49,Airplane,0,toys,0,0
8,49,Jet,0,toys,0,0
9,49,Blue angel,0,toys,0,0
10,49,Snowplow,0,toys,0,0
11,49,Pickup truck,0,toys,0,0
12,49,Regular car,0,toys,0,0
13,49,Electric car,0,toys,0,0
14,49,cyber truck,0,toys,0,0
